Metabolite,Compound_ID_X01,Original_Metabolite_Name,HMDB_ID,Known_Compound,Included_X01,Included_Pilot,Included_MESA2,Assay,Known,cv_percent,n_pools,missing_exam_1,missing_exam_5,missing_exam_6,missing_all_exams
C18_alpha.Linolenic.acid,QI20141,alpha-Linolenic acid,HMDB0001388,1,1,1,1,C18,1,6.275108014417112,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_gamma.Linolenic.acid,QI20395,gamma-Linolenic acid,HMDB0003073,1,1,1,1,C18,1,6.018349465817602,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Linoleic.acid,TF05,Linoleic acid,HMDB0000673,1,1,1,1,C18,1,7.113904130198991,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Oleic.acid,QI24015,Oleic acid,HMDB0000207,1,1,1,1,C18,1,8.123440321991318,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Eicosapentaenoic.acid,QI19925,Eicosapentaenoic acid,HMDB0001999,1,1,1,1,C18,1,5.553385296815776,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Arachidonic.acid,QI21458,Arachidonic acid,HMDB0001043,1,1,1,1,C18,1,7.262479737015963,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Eicosatrienoic.acid,QI22651,Eicosatrienoic acid,HMDB0002925,1,1,1,1,C18,1,7.554969602434938,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Eicosenoic.acid,QI26739,Eicosenoic acid,HMDB0002231,1,1,1,1,C18,1,7.6676440093277805,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Docosahexaenoic.acid,QI21038,Docosahexaenoic acid,HMDB0002183,1,1,1,1,C18,1,7.210604058861309,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Docosapentaenoic.acid..22n.6.,QI21959,Docosapentaenoic acid (22n-6),HMDB0001976,1,1,1,1,C18,1,8.99133774917302,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Adrenic.acid,QI23598,Adrenic acid,HMDB0002226,1,1,1,1,C18,1,9.456402032051093,503,0.32941176470588235,0.598940336328035,0,0.34241585312545536
C18_cis.Erucic.acid,QI30444,cis-Erucic acid,HMDB0002068,1,1,1,1,C18,1,9.178612178980945,503,0.32941176470588235,0.598940336328035,0.03322259136212625,0.34970129680897566
C18_Nervonic.acid,QI34552,Nervonic acid,HMDB0002368,1,1,1,1,C18,1,10.001740224717242,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_X3.Methyladipic.acid,TF11,3-Methyladipic acid,HMDB0000555,1,1,1,1,C18,1,7.813195039811008,503,0.32941176470588235,0.5759041695461875,0.03322259136212625,0.34241585312545536
C18_Azelaic.acid,QI40759,Azelaic acid,HMDB0000784,1,1,1,1,C18,1,9.864392940820421,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Sebacic.acid,QI43881,Sebacic acid,HMDB0000792,1,1,1,1,C18,1,3.9717996699233704,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Undecanedioic.acid,QI47323,Undecanedioic acid,HMDB0000888,1,1,1,1,C18,1,4.067598057439457,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Dodecanedioic.acid,QI50476,Dodecanedioic acid,HMDB0000623,1,1,1,1,C18,1,3.1154755623282844,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Tetradecanedioic.acid,QI56444,Tetradecanedioic acid,HMDB0000872,1,1,1,1,C18,1,2.8253645089513677,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Hexadecanedioic.acid,QI12780,Hexadecanedioic acid,HMDB0000672,1,1,1,1,C18,1,3.336932100317875,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_X3S.Hydroxyhexanoic.acid,QI9304,3S-Hydroxyhexanoic acid,HMDB0061652,1,1,1,1,C18,1,3.8532313271274354,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_X2.Hydroxyoctanoic.acid,QI45752,2-Hydroxyoctanoic acid,HMDB0002264,1,1,1,1,C18,1,3.100125372815074,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_X3.Hydroxyoctanoic.acid,QI43134,3-Hydroxyoctanoic acid,HMDB0001954,1,1,1,1,C18,1,3.1165115952242264,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_X3.Hydroxydecanoic.acid,QI52132,3-Hydroxydecanoic acid,HMDB0002203,1,1,1,1,C18,1,3.3719380185005807,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_X2.Hydroxymyristic.acid,QI16756,2-Hydroxymyristic acid,HMDB0002261,1,1,1,1,C18,1,5.528233250955366,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Juniperic.acid,QI14221,Juniperic acid,HMDB0006294,1,1,1,1,C18,1,2.668996151423115,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
