Metabolite,PC1,Assay,Known,cv_percent,n_pools,missing_exam_1,missing_exam_5,missing_exam_6,missing_all_exams
C8_QI11220,-0.044213883159396644,C8,0,8.89378148780833,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI3206,-0.04419698273636053,C8,0,7.097974942405087,514,0.09411764705882353,0.11518083390923751,0.09966777408637872,0.10199621156928457
C8_QI8951,-0.04410631633971888,C8,0,4.249422222111032,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI9180,-0.0440431638655983,C8,0,5.601390386862112,514,0.0784313725490196,0.09214466712739,0.09966777408637872,0.08742532420224391
C8_QI5367,-0.04377610243724985,C8,0,3.103699059675282,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_PC.P.40.3,-0.04368478537913101,C8,1,3.8806230911224158,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI5232,-0.043642068190352976,C8,0,4.7317606755386885,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI7444,-0.04363427192920741,C8,0,5.840239112929205,514,0.06274509803921569,0.09214466712739,0.132890365448505,0.08742532420224391
C8_QI9082,-0.04361436948446492,C8,0,5.254325136062773,514,0.0784313725490196,0.09214466712739,0.09966777408637872,0.08742532420224391
C8_PC.P.42.5.or.PC.O.42.6,-0.04360969178537518,C8,1,3.3766568345129095,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI8673,-0.0433745641171398,C8,0,4.600699302190065,514,0.0784313725490196,0.09214466712739,0.09966777408637872,0.08742532420224391
C8_PC.P.42.4.or.PC.O.42.5,-0.043363073060897254,C8,1,3.480221552372584,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI4414,-0.04333676253788353,C8,0,36.18590989872328,514,0.25098039215686274,0.4376871688551025,0.6312292358803987,0.3934139589100976
C8_QI4127,-0.04326734391688923,C8,0,27.742986746270393,513,0.34509803921568627,0.55286800276434,0.8637873754152824,0.5245519452134635
C8_LPC.O.24.0.0.0,-0.04324007544386805,C8,1,3.9214723298986107,514,0.06274509803921569,0.09214466712739,0.09966777408637872,0.08013988051872359
C8_QI11766,-0.043123314261679986,C8,0,10.374367257143522,514,0.0784313725490196,0.0691085003455425,0.09966777408637872,0.08013988051872359
C8_TG.54.3,-0.04307623326311072,C8,1,2.3199996919759247,513,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_PC.36.1,-0.04302775531359543,C8,1,3.3674797283418747,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI474,-0.042953651266252564,C8,0,7.885698356494662,514,0.06274509803921569,0.0691085003455425,0.09966777408637872,0.07285443683520326
C8_QI11377,-0.0429371485930254,C8,0,15.229675726522823,514,0.09411764705882353,0.0691085003455425,0.09966777408637872,0.08742532420224391
